id,prod_id_key,prod_id_value,next_month_prod_id,prepaid
111,3 MONTHS,9175678162,1918033133626,t
104,Give Me Zen - 5 Items,1828556308538,1918033133626,f
105,Give Me Zen - 3 Items Auto renew,1828596514874,1918032609338,f
106,Give Me Zen - 5 Items Auto renew,1828595990586,1918033133626,f
107,Love and Light - 3 Items,1828559061050,1918032609338,f
108,Love and Light - 5 Items,1828558078010,1918033133626,f
109,Love and Light - 3 Items Auto renew,1828598218810,1918032609338,f
110,Love and Light - 5 Items Auto renew,1828596645946,1918033133626,f
1,3 MONTHS,23729012754,1918033133626,t
2,power_moves3,69026938898,1918032609338,f
3,power_moves5,69026316306,1918033133626,f
4,go_time3,52386937778,1918032609338,f
5,go_time5,78480408594,1918033133626,f
6,power_moves3_auto,78541520914,1918032609338,f
7,power_moves5_auto,78657093650,1918033133626,f
8,go_time3_auto,91049066514,1918032609338,f
9,go_time5_auto1,91049230354,1918033133626,f
10,go_time5_auto2,91049197586,1918033133626,f
11,heart_soul_3item,91236466706,1918032609338,f
12,heart_soul_3item_auto,109303332882,1918032609338,f
13,heart_soul_5item,109301366802,1918033133626,f
14,heart_soul_5item_auto,109301366802,1918033133626,f
15,go_time_3item,52386037778,1918032609338,f
16,fit_fierce_5item,91235975186,1918033133626,f
17,modern_muse_5itemauto,91236368402,1918033133626,f
18,power_move_3_item,69026938898,1918032609338,f
19,fit_fierce_3item,91236171794,1918032609338,f
20,modern_muse_5item,91236368402,1918033133626,f
21,modern_muse_3item,91236466706,1918032609338,f
22,fit_fierce_3itemauto,91236171794,1918032609338,f
23,modern_muse_3itemauto,91236466706,1918032609338,f
24,La Vie En Rose - 3 Item,138427301906,1918032609338,f
25,La Vie En Rose - 3 Item  Auto renew,159581274130,1918032609338,f
26,La Vie En Rose - 5 Item,138427203602,1918033133626,f
27,La Vie En Rose - 5 Item  Auto renew,159580848146,1918033133626,f
28,Sweetest Thing - 3 Item,138427596818,1918032609338,f
29,Sweetest Thing - 3 Item  Auto renew,159587827730,1918032609338,f
30,Sweetest Thing - 5 Item,138427465746,1918033133626,f
31,Sweetest Thing - 5 Item  Auto renew,159586746386,1918033133626,f
32,Give Me AmorÃÂ - 3 Item,138427793426,1918032609338,f
33,Give Me Amore - 3 Item  Auto renew,159593693202,1918032609338,f
34,Give Me AmorÃÂ - 5 Item,138427695122,1918033133626,f
35,Give Me Amore - 5 Item  Auto renew,163444719634,1918033133626,f
36,Desert Sage - 3 Item,197985992722,1918032609338,f
37,Desert Sage - 3 Item Autorenew,210212388882,1918032609338,f
38,Desert Sage - 5 Item,197983830034,1918033133626,f
39,Desert Sage - 5 Item Autorenew,210212356114,1918033133626,f
40,Running Wild - 3 Item,197986877458,1918032609338,f
41,Running Wild - 3 item Autorenew,210212519954,1918032609338,f
42,Running Wild - 5 Item,197986385938,1918033133626,f
43,Running Wild - 5 Item Autorenew,210212454418,1918033133626,f
44,After Dark - 3 Item,197987074066,1918032609338,f
45,After Dark - 3 Item Autorenew,210212618258,1918032609338,f
46,After Dark -5 Item,197986910226,1918033133626,f
47,After Dark - 5 Item Autorenew,210212585490,1918033133626,f
48,Set the Pace 3 Item,175541518354,1918032609338,f
49,In The Zone - 3 Item,175540207634,1918032609338,f
50,In The Zone - 5 Item,175535685650,1918033133626,f
51,May Flowers - 3 Items,207131443218,1918032609338,f
52,May Flowers - 3 Items Auto renew,219709145106,1918032609338,f
53,May Flowers - 5 Items,207131279378,1918033133626,f
54,May Flowers - 5 Items Auto renew,219709276178,1918033133626,f
55,Wild Orchid -3 Items,207131803666,1918032609338,f
56,Wild Orchid - 3 Items Auto renew,219709407250,1918032609338,f
57,Wild Orchid - 5 Items,207131705362,1918033133626,f
58,Wild Orchid - 5 Items Auto renew,219709538322,1918033133626,f
59,Sky's the Limit - 3 Items,207132033042,1918032609338,f
60,Sky's the Limit - 3 Items Auto renew,219709702162,1918032609338,f
61,Sky's the Limit - 5 Items,207131967506,1918033133626,f
62,Skys the Limit - 5 Items Auto renew,219709767698,1918033133626,f
63,Rose All Day - 3 Items,224674119698,1918032609338,f
64,Rose All Day - 5 Items,224674086930,1918033133626,f
65,Rose All Day - 3 Items Auto renew,224675037202,1918032609338,f
66,Rose All Day - 5 Items Auto renew,224674971666,1918033133626,f
67,Weekend Warrior - 3 Items,224674447378,1918032609338,f
68,Weekend Warrior - 3 Items Auto renew,224675364882,1918032609338,f
69,Weekend Warrior - 5 Items,224674381842,1918033133626,f
70,Weekend Warrior - 5 Items Auto renew,224675299346,1918033133626,f
71,Back to Black - 3 Items,224674316306,1918032609338,f
72,Back to Black - 3 Items Auto renew,224675233810,1918032609338,f
73,Back to Black - 5 Items,224674283538,1918033133626,f
74,Back to Black - 5 Items Auto renew,224675135506,1918033133626,f
75,Print Paradise - 3 Items,1446651330618,1918032609338,f
76,Print Paradise - 5 Items,1446647234618,1918033133626,f
77,Print Paradise - 3 Items Auto renew,1508549427258,1918032609338,f
78,Print Paradise - 5 Items Auto renew,1508553392186,1918033133626,f
79,Seeing Stars - 3 Items,1446660702266,1918032609338,f
80,Seeing Stars - 5 Items,1446656999482,1918033133626,f
81,Seeing Stars - 3 Items Auto renew,1508540219450,1918032609338,f
82,Seeing Stars - 5 Items Auto renew,1508544643130,1918033133626,f
83,Vitamin Sea - 3 Items,1446669287482,1918032609338,f
84,Vitamin Sea - 5 Items,1446664306746,1918033133626,f
85,Vitamin Sea - 3 Items Auto renew,1508523147322,1918032609338,f
86,Vitamin Sea - 5 Items Auto renew,1508537106490,1918033133626,f
87,Meet Your Match - 3 Items,1719732535354,1918032609338,f
88,Meet Your Match - 5 Items,1719728111674,1918033133626,f
89,Meet Your Match - 3 Items Auto renew,1778624921658,1918032609338,f
90,Meet your Match - 5 items Auto renew,1778619449402,1918033133626,f
91,Tough Luxe - 3 Items,1719724507194,1918032609338,f
92,Tough Luxe - 5 Items,1719720935482,1918033133626,f
93,Tough Luxe - 3 Items Auto renew,1778637897786,1918032609338,f
94,Tough Luxe - 5 Items Auto renew,1778635964474,1918033133626,f
95,Power Surge - 3 Items,1719715201082,1918032609338,f
96,Power Surge - 5 Items,1719710810170,1918033133626,f
97,Power Surge - 3 Items Auto renew,1778644779066,1918032609338,f
98,Power Surge - 5 items Auto renew,1778643304506,1918033133626,f
99,Vinyasa Vibes - 3 Items,1828555587642,1918032609338,f
100,Vinyasa Vibes - 5 Items,1828550213690,1918033133626,f
101,Vinyasa Vibes - 3 Items Auto renew,1828595367994,1918032609338,f
102,Vinyasa Vibes - 5 Items Auto renew,1828594090042,1918033133626,f
103,Give Me Zen - 3 Items,1828557127738,1918032609338,f
